"reportingBiases" "k" "estimate" "se" "zval" "pval" "ci.lb" "ci.ub"
"1" "probably_no" 223 0.09 0.02 5.77 0 0.06 0.12
"2" "probably_yes" 31 0.1 0.03 3 0 0.03 0.17
